LOGOTIME,trap-xcor,trap-ycor
2010-01-01 12:00:13.830,4,-7
2010-01-01 12:00:13.836,-5,-15
2010-01-01 12:00:13.871,-8,-4
2010-01-01 12:00:13.897,5,-10
2010-01-01 12:00:13.926,14,-15
2010-01-01 12:00:13.948,-10,-7
2010-01-01 12:00:13.960,-11,11
2010-01-01 12:00:13.965,-9,7
2010-01-01 12:00:14.001,-6,-8
2010-01-01 12:00:14.004,16,9
2010-01-01 12:00:14.027,-15,11
2010-01-01 12:00:14.032,-15,13
2010-01-01 12:00:14.059,-10,2
2010-01-01 12:00:14.074,-14,-4
2010-01-01 12:00:14.129,-9,-7
2010-01-01 12:00:14.133,-4,7
2010-01-01 12:00:14.141,11,-16
2010-01-01 12:00:14.151,11,2
2010-01-01 12:00:14.196,-7,-11
2010-01-01 12:00:14.202,-15,2
2010-01-01 12:00:14.211,-8,-10
2010-01-01 12:00:14.251,-12,-8
2010-01-01 12:00:14.259,5,12
2010-01-01 12:00:14.275,-14,10
2010-01-01 12:00:14.309,-3,-3
2010-01-01 12:00:14.323,-13,-7
2010-01-01 12:00:14.360,-9,-12
2010-01-01 12:00:14.376,-10,0
2010-01-01 12:00:14.385,-1,0
2010-01-01 12:00:14.396,-14,-7
2010-01-01 12:00:14.423,-8,-5
2010-01-01 12:00:14.425,-7,-8
2010-01-01 12:00:14.429,12,-11
2010-01-01 12:00:14.437,-13,-9
2010-01-01 12:00:14.448,-12,-1
2010-01-01 12:00:14.480,-13,13
2010-01-01 12:00:14.486,-15,6
2010-01-01 12:00:14.489,16,3
2010-01-01 12:00:14.501,-13,2
2010-01-01 12:00:14.508,-16,2
2010-01-01 12:00:14.509,-7,-6
2010-01-01 12:00:14.563,3,-6
2010-01-01 12:00:14.572,-4,-12
2010-01-01 12:00:14.578,-13,-13
2010-01-01 12:00:14.587,-8,-6
2010-01-01 12:00:14.591,-6,-15
2010-01-01 12:00:14.592,-8,-2
2010-01-01 12:00:14.604,-11,10
2010-01-01 12:00:14.624,-15,-1
2010-01-01 12:00:14.637,-11,-12
2010-01-01 12:00:14.640,-5,-12
2010-01-01 12:00:14.645,-16,-6
2010-01-01 12:00:14.679,-9,-8
